user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22104,Boolean Expressions,Challenges,JBooleanDryHot3,-1,1,1,1,2023-04-07 16:57:39.39,2023-04-07 16:58:03.415,6797,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6798,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6799,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6800,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6801,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6802,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6803,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6804,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6805,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6806,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6807,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6808,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6809,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6810,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6811,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,0,,,,2023-04-07 16:58:11.468,,6812,OBJ2000
norway22104,Boolean Expressions,Coding,in_order,1,,,,2023-04-07 16:58:11.468,,6813,OBJ2000
norway22104,Boolean Expressions,Coding,squirrel_play,0,,,,2023-04-07 17:49:01.688,,6814,OBJ2000
norway22104,Boolean Expressions,Coding,squirrel_play,0,,,,2023-04-07 17:49:01.688,,6815,OBJ2000
norway22104,Boolean Expressions,Coding,squirrel_play,1,,,,2023-04-07 17:49:01.688,,6816,OBJ2000
norway22104,Boolean Expressions,Coding,squirrel_play,-1,,,,2023-04-07 17:49:01.689,,6817,OBJ2000
